Date,Close,High,Low,Open,Last_Close,Delta,Delta_Pct,Count,Value,,,,,,,
9/26/2017,3343.5826,3347.1629,3332.5985,3336.3497,3341.5487,2.0339,0.0609,132628595,1.59E+11,,,,,,,
9/25/2017,3341.5487,3350.9612,3334.9438,3344.5886,3352.5294,-10.9807,-0.3275,169621293,2.02E+11,,,,,,,
9/22/2017,3352.5294,3356.4514,3334.9846,3347.1569,3357.8123,-5.2829,-0.1573,179234007,2.07E+11,,,,,,,
9/21/2017,3357.8123,3377.8844,3356.8754,3364.6977,3365.9959,-8.1836,-0.2431,197448695,2.32E+11,,,,,,,
9/20/2017,3365.9959,3370.0978,3346.5356,3352.1848,3356.8446,9.1513,0.2726,192196661,2.26E+11,,,,,,,
9/19/2017,3356.8446,3370.4009,3344.7054,3365.5315,3362.8587,-6.0141,-0.1788,191129691,2.21E+11,,,,,,,
9/18/2017,3362.8587,3371.7486,3352.5134,3352.5134,3353.6192,9.2395,0.2755,190319676,2.28E+11,,,,,,,
9/15/2017,3353.6192,3365.5277,3345.3283,3365.1454,3371.4256,-17.8064,-0.5282,219765816,2.53E+11,,,,,,,
9/14/2017,3371.4256,3391.6435,3361.3335,3383.47,3384.147,-12.7214,-0.3759,221306487,2.57E+11,,,,,,,
9/13/2017,3384.147,3387.1397,3366.5412,3374.7185,3379.488,4.659,0.1379,194550715,2.31E+11,,,,,,,
9/12/2017,3379.488,3391.0694,3370.8519,3381.487,3376.4188,3.0692,0.0909,272910319,3.25E+11,,,,,,,
9/11/2017,3376.4188,3384.81,3360.0462,3365.3506,3365.2426,11.1762,0.3321,219011019,2.57E+11,,,,,,,
9/8/2017,3365.2426,3380.8898,3353.6876,3364.4275,3365.4974,-0.2548,-0.0076,198405184,2.35E+11,,,,,,,
9/7/2017,3365.4974,3387.7956,3363.1765,3383.6281,3385.3888,-19.8914,-0.5876,221118685,2.64E+11,,,,,,,
9/6/2017,3385.3888,3391.0105,3364.7645,3372.4277,3384.317,1.0718,0.0317,229090785,2.62E+11,,,,,,,
9/5/2017,3384.317,3390.8233,3371.5706,3377.1968,3379.583,4.734,0.1401,216552946,2.46E+11,,,,,,,
9/4/2017,3379.583,3381.4027,3359.1309,3369.7185,3367.1194,12.4636,0.3702,267427849,2.96E+11,,,,,,,
