Date,Close,High,Low,Open,Last_Close,Delta,Delta_Pct,Count,Value,,,,,,,
2/12/2018,3154.1254,3168.1258,3113.6054,3128.3709,3129.8508,24.2746,0.7756,153310831,1.71E+11,,,,,,,
2/9/2018,3129.8508,3180.11,3062.7426,3172.8509,3262.0504,-132.1996,-4.0527,256389176,2.72E+11,,,,,,,
2/8/2018,3262.0504,3307.1623,3225.7117,3281.0458,3309.2598,-47.2094,-1.4266,201262499,2.22E+11,,,,,,,
2/7/2018,3309.2598,3425.5377,3304.007,3412.7441,3370.652,-61.3922,-1.8214,260939714,2.95E+11,,,,,,,
2/6/2018,3370.652,3440.124,3364.2163,3418.01,3487.497,-116.845,-3.3504,280555477,3.19E+11,,,,,,,
2/5/2018,3487.497,3487.7211,3406.2405,3411.6698,3462.0808,25.4162,0.7341,217673754,2.52E+11,,,,,,,
2/2/2018,3462.0808,3463.1639,3388.8597,3419.2249,3446.9799,15.1009,0.4381,208120551,2.36E+11,,,,,,,
2/1/2018,3446.9799,3495.0933,3424.4188,3478.6701,3480.8334,-33.8535,-0.9726,260504707,2.93E+11,,,,,,,
1/31/2018,3480.8334,3495.4533,3454.7259,3470.5089,3488.009,-7.1756,-0.2057,207253403,2.43E+11,,,,,,,
1/30/2018,3488.009,3523.0513,3484.6556,3511.5005,3523.0007,-34.9917,-0.9932,186369975,2.25E+11,,,,,,,
1/29/2018,3523.0007,3587.0323,3510.2689,3563.64,3558.1288,-35.1281,-0.9873,236026965,2.85E+11,,,,,,,
1/26/2018,3558.1288,3574.9048,3534.1952,3535.4931,3548.307,9.8218,0.2768,222698295,2.58E+11,,,,,,,
1/25/2018,3548.307,3571.4805,3528.0349,3555.1677,3559.4653,-11.1583,-0.3135,243413422,2.88E+11,,,,,,,
1/24/2018,3559.4653,3569.4891,3527.1119,3553.4787,3546.5048,12.9605,0.3654,252954496,3.08E+11,,,,,,,
1/23/2018,3546.5048,3547.2222,3504.3439,3504.3439,3501.3622,45.1426,1.2893,238705904,2.82E+11,,,,,,,
1/22/2018,3501.3622,3503.3857,3475.673,3476.9939,3487.864,13.4982,0.387,217487534,2.61E+11,,,,,,,
1/19/2018,3487.864,3498.4341,3474.2915,3481.62,3474.754,13.11,0.3773,247536733,2.94E+11,,,,,,,
1/18/2018,3474.754,3476.546,3448.7885,3449.881,3444.6713,30.0827,0.8733,220039555,2.68E+11,,,,,,,
1/17/2018,3444.6713,3465.2049,3430.5114,3438.5762,3436.594,8.0773,0.235,261045030,3.17E+11,,,,,,,
1/16/2018,3436.594,3437.5827,3401.9606,3403.4694,3410.4882,26.1058,0.7655,211475468,2.67E+11,,,,,,,
1/15/2018,3410.4882,3442.5008,3402.312,3428.9508,3428.9407,-18.4525,-0.5381,232009283,2.86E+11,,,,,,,
1/12/2018,3428.9407,3435.4239,3417.9802,3423.8793,3425.3449,3.5958,0.105,174063404,2.16E+11,,,,,,,
1/11/2018,3425.3449,3426.4829,3405.639,3415.585,3421.8343,3.5106,0.1026,173812133,2.18E+11,,,,,,,
1/10/2018,3421.8343,3430.2139,3398.8423,3414.1128,3413.8996,7.9347,0.2324,209094997,2.55E+11,,,,,,,
1/9/2018,3413.8996,3417.2278,3403.5869,3406.1116,3409.4795,4.4201,0.1296,191488551,2.38E+11,,,,,,,
1/8/2018,3409.4795,3412.7307,3384.5591,3391.5528,3391.7501,17.7294,0.5227,236165106,2.86E+11,,,,,,,
1/5/2018,3391.7501,3402.0694,3380.245,3386.464,3385.7102,6.0399,0.1784,213060681,2.48E+11,,,,,,,
1/4/2018,3385.7102,3392.8264,3365.2954,3371,3369.1084,16.6018,0.4928,206955288,2.43E+11,,,,,,,
1/3/2018,3369.1084,3379.9152,3345.2887,3347.7428,3348.3259,20.7825,0.6207,213836149,2.58E+11,,,,,,,
1/2/2018,3348.3259,3349.053,3314.0307,3314.0307,3307.1721,41.1538,1.2444,202278860,2.28E+11,,,,,,,
12/29/2017,3307.1721,3308.2249,3292.7699,3295.2461,3296.3847,10.7874,0.3272,141586836,1.70E+11,,,,,,,
12/28/2017,3296.3847,3304.0962,3263.7282,3272.2913,3275.7828,20.6019,0.6289,175371670,2.08E+11,,,,,,,
12/27/2017,3275.7828,3307.0798,3270.349,3302.4612,3306.1246,-30.3418,-0.9177,162674890,1.98E+11,,,,,,,
12/26/2017,3306.1246,3307.2994,3274.3274,3277.8372,3280.461,25.6636,0.7823,142434501,1.75E+11,,,,,,,
12/25/2017,3280.461,3312.2998,3270.4407,3296.2106,3297.063,-16.602,-0.5035,146893635,1.77E+11,,,,,,,
12/22/2017,3297.063,3307.3276,3293.4415,3297.6852,3300.0593,-2.9963,-0.0908,124047326,1.52E+11,,,,,,,
12/21/2017,3300.0593,3309.2233,3267.4042,3281.1179,3287.6057,12.4536,0.3788,142127927,1.74E+11,,,,,,,
12/20/2017,3287.6057,3300.2124,3276.1201,3296.7403,3296.5384,-8.9327,-0.271,137745118,1.68E+11,,,,,,,
12/19/2017,3296.5384,3296.9398,3266.0191,3266.0191,3267.9224,28.616,0.8757,115140134,1.51E+11,,,,,,,
12/18/2017,3267.9224,3280.5438,3254.1775,3268.0335,3266.1371,1.7853,0.0547,120700389,1.50E+11,,,,,,,
12/15/2017,3266.1371,3287.5292,3259.3883,3287.5292,3292.4385,-26.3014,-0.7988,130940618,1.62E+11,,,,,,,
12/14/2017,3292.4385,3309.5295,3282.5732,3302.9322,3303.0373,-10.5988,-0.3209,120544235,1.51E+11,,,,,,,
12/13/2017,3303.0373,3304.0101,3273.3248,3278.3968,3280.8136,22.2237,0.6774,111998647,1.45E+11,,,,,,,
12/12/2017,3280.8136,3320.3103,3280.3291,3320.3103,3322.1956,-41.382,-1.2456,124604827,1.61E+11,,,,,,,
12/11/2017,3322.1956,3322.6736,3288.2949,3290.4881,3289.9924,32.2032,0.9788,131965984,1.73E+11,,,,,,,
12/8/2017,3289.9924,3297.1304,3258.7593,3264.4776,3272.0542,17.9382,0.5482,133209314,1.66E+11,,,,,,,
12/7/2017,3272.0542,3291.2817,3259.1637,3283.2791,3293.9648,-21.9106,-0.6652,132105900,1.62E+11,,,,,,,
12/6/2017,3293.9648,3296.2013,3254.6108,3291.3128,3303.6751,-9.7103,-0.2939,151604452,1.79E+11,,,,,,,
12/5/2017,3303.6751,3315.7373,3300.5117,3301.6906,3309.6183,-5.9432,-0.1796,208278862,2.43E+11,,,,,,,
12/4/2017,3309.6183,3323.9961,3304.1034,3310.3814,3317.6174,-7.9991,-0.2411,148053288,1.85E+11,,,,,,,
12/1/2017,3317.6174,3324.5161,3302.4398,3315.1051,3317.1884,0.429,0.0129,139198300,1.77E+11,,,,,,,
